date,state,deathIncrease,positiveIncrease,negativeIncrease,hospitalizedIncrease,recovered,onVentilatorCumulative,inIcuCumulative,recoveredIncrease,onVentilatorIncrease,inIcuIncrease
2020-03-06,AK,0,0,0,0,,,,,,
2020-03-07,AK,0,0,4,0,,,,,,
2020-03-08,AK,0,0,2,0,,,,,,
2020-03-09,AK,0,0,9,0,,,,,,
2020-03-10,AK,0,0,0,0,,,,,,
2020-03-11,AK,0,0,23,0,,,,,,
2020-03-12,AK,0,0,0,0,,,,,,
2020-03-13,AK,0,1,13,0,,,,,,
2020-03-14,AK,0,0,84,0,,,,,,
2020-03-15,AK,0,0,0,0,,,,,,
2020-03-16,AK,0,0,0,0,,,,,,
2020-03-17,AK,0,2,191,0,,,,,,
2020-03-18,AK,0,3,72,0,,,,,,
2020-03-19,AK,0,0,26,0,,,,,,
2020-03-20,AK,0,6,254,0,,,,,,
2020-03-21,AK,0,2,72,0,,,,,,
2020-03-22,AK,0,8,188,0,,,,,,
2020-03-23,AK,0,0,0,0,,,,,,
2020-03-24,AK,0,14,40,0,,,,,,
2020-03-25,AK,1,6,663,1,,,,,,
2020-03-26,AK,0,17,152,2,,,,,,
2020-03-27,AK,0,10,518,0,,,,,,
2020-03-28,AK,1,16,517,2,,,,,,
2020-03-29,AK,0,17,396,1,,,,,,
2020-03-30,AK,1,12,308,1,,,,,,
2020-03-31,AK,0,5,54,0,,,,,,
2020-04-01,AK,0,14,876,2,,,,,,
2020-04-02,AK,0,10,409,0,,,,,,
2020-04-03,AK,0,14,980,6,,,,,,
2020-04-04,AK,2,14,10,1,,,,,,
2020-04-05,AK,1,14,230,4,,,,,,
2020-04-06,AK,0,6,593,3,,,,,,
2020-04-07,AK,0,22,8,0,29.0,,,,,
2020-04-08,AK,1,13,142,4,32.0,,,3.0,,
2020-04-09,AK,0,9,146,0,49.0,,,17.0,,
2020-04-10,AK,0,11,198,1,55.0,,,6.0,,
2020-04-11,AK,1,11,289,3,63.0,,,8.0,,
2020-04-12,AK,0,15,291,0,66.0,,,3.0,,
2020-04-13,AK,0,5,-213,1,85.0,,,19.0,,
2020-04-14,AK,1,8,510,0,98.0,,,13.0,,
2020-04-15,AK,0,8,308,2,106.0,,,8.0,,
2020-04-16,AK,0,7,64,1,110.0,,,4.0,,
2020-04-17,AK,0,9,706,1,128.0,,,18.0,,
2020-04-18,AK,0,5,200,0,147.0,,,19.0,,
2020-04-19,AK,0,5,235,0,153.0,,,6.0,,
2020-04-20,AK,0,2,227,0,161.0,,,8.0,,
2020-04-21,AK,0,8,987,0,168.0,,,7.0,,
2020-04-22,AK,0,6,1034,0,196.0,,,28.0,,
2020-04-23,AK,0,2,0,-36,209.0,,,13.0,,
2020-04-24,AK,0,2,118,0,208.0,,,-1.0,,
2020-04-25,AK,0,0,3451,0,217.0,,,9.0,,
2020-04-26,AK,0,2,443,0,217.0,,,0.0,,
2020-04-27,AK,0,4,75,0,218.0,,,1.0,,
2020-04-28,AK,0,6,827,0,228.0,,,10.0,,
2020-04-29,AK,0,4,2026,0,240.0,,,12.0,,
2020-04-30,AK,0,0,0,0,252.0,,,12.0,,
2020-05-01,AK,0,9,1197,0,254.0,,,2.0,,
2020-05-02,AK,0,1,1073,0,261.0,,,7.0,,
2020-05-03,AK,0,3,176,0,262.0,,,1.0,,
2020-05-04,AK,0,2,143,0,263.0,,,1.0,,
2020-05-05,AK,0,1,968,0,277.0,,,14.0,,
2020-05-06,AK,1,1,962,0,284.0,,,7.0,,
2020-05-07,AK,0,2,684,0,291.0,,,7.0,,
2020-05-08,AK,0,3,1129,0,305.0,,,14.0,,
2020-05-09,AK,0,1,975,0,318.0,,,13.0,,
2020-05-10,AK,0,1,914,0,324.0,,,6.0,,
2020-05-11,AK,0,2,1314,0,328.0,,,4.0,,
2020-05-12,AK,0,2,1279,0,334.0,,,6.0,,
2020-05-13,AK,0,0,688,0,338.0,,,4.0,,
2020-05-14,AK,0,4,1109,0,339.0,,,1.0,,
2020-05-15,AK,0,1,655,0,343.0,,,4.0,,
2020-05-16,AK,0,4,859,0,344.0,,,1.0,,
2020-05-17,AK,0,4,1366,0,344.0,,,0.0,,
2020-05-18,AK,0,3,957,0,345.0,,,1.0,,
2020-05-19,AK,0,0,769,0,348.0,,,3.0,,
2020-05-20,AK,0,3,662,0,352.0,,,4.0,,
2020-05-21,AK,0,0,2500,0,356.0,,,4.0,,
2020-05-22,AK,0,2,1899,0,356.0,,,0.0,,
2020-05-23,AK,0,4,901,0,358.0,,,2.0,,
2020-05-24,AK,0,0,1156,0,358.0,,,0.0,,
2020-05-25,AK,0,1,964,0,361.0,,,3.0,,
2020-05-26,AK,0,2,490,0,362.0,,,1.0,,
2020-05-27,AK,0,1,1398,0,364.0,,,2.0,,
2020-05-28,AK,0,13,1594,0,366.0,,,2.0,,
2020-05-29,AK,0,5,1464,0,367.0,,,1.0,,
2020-05-30,AK,0,4,2252,0,368.0,,,1.0,,
2020-05-31,AK,0,0,0,0,368.0,,,0.0,,
2020-06-01,AK,0,33,2462,0,368.0,,,0.0,,
2020-06-02,AK,0,20,1993,0,371.0,,,3.0,,
2020-06-03,AK,0,18,1961,0,373.0,,,2.0,,
2020-06-04,AK,0,8,1907,0,376.0,,,3.0,,
2020-06-05,AK,0,11,882,0,380.0,,,4.0,,
2020-06-06,AK,0,12,2899,48,382.0,,,2.0,,
2020-06-07,AK,0,8,995,-48,382.0,,,0.0,,
2020-06-08,AK,0,19,989,0,384.0,,,2.0,,
2020-06-09,AK,1,10,968,0,389.0,,,5.0,,
2020-06-10,AK,0,20,810,0,392.0,,,3.0,,
2020-06-11,AK,0,18,1273,0,397.0,,,5.0,,
2020-06-12,AK,1,14,1855,0,403.0,,,6.0,,
2020-06-13,AK,0,29,894,0,405.0,,,2.0,,
2020-06-14,AK,0,7,1657,0,411.0,,,6.0,,
2020-06-15,AK,0,3,967,0,417.0,,,6.0,,
2020-06-16,AK,0,12,1766,0,429.0,,,12.0,,
2020-06-17,AK,0,20,1474,0,438.0,,,9.0,,
2020-06-18,AK,0,12,3464,0,449.0,,,11.0,,
2020-06-19,AK,0,14,2432,0,457.0,,,8.0,,
2020-06-20,AK,0,21,3266,0,464.0,,,7.0,,
2020-06-21,AK,0,12,1121,0,475.0,,,11.0,,
2020-06-22,AK,0,6,2767,0,491.0,,,16.0,,
2020-06-23,AK,0,17,2106,0,502.0,,,11.0,,
2020-06-24,AK,0,14,3135,0,507.0,,,5.0,,
2020-06-25,AK,0,24,3332,0,513.0,,,6.0,,
2020-06-26,AK,2,20,2320,0,519.0,,,6.0,,
2020-06-27,AK,0,18,3771,0,521.0,,,2.0,,
2020-06-28,AK,0,29,2690,0,521.0,,,0.0,,
2020-06-29,AK,0,21,388,0,525.0,,,4.0,,
2020-06-30,AK,0,36,3440,0,526.0,,,1.0,,
2020-07-01,AK,0,38,2177,0,528.0,,,2.0,,
2020-07-02,AK,0,39,1470,0,535.0,,,7.0,,
2020-07-03,AK,1,46,4253,0,539.0,,,4.0,,
2020-07-04,AK,1,48,2476,0,544.0,,,5.0,,
2020-07-05,AK,0,27,994,0,548.0,,,4.0,,
2020-07-06,AK,0,0,0,0,548.0,,,0.0,,
2020-07-07,AK,1,46,7621,0,560.0,,,12.0,,
2020-07-08,AK,0,42,1939,0,563.0,,,3.0,,
2020-07-09,AK,0,46,2297,0,571.0,,,8.0,,
2020-07-10,AK,0,51,6136,0,588.0,,,17.0,,
2020-07-11,AK,0,62,1383,0,598.0,,,10.0,,
2020-07-12,AK,0,94,2005,0,615.0,,,17.0,,
2020-07-13,AK,0,60,1055,0,620.0,,,5.0,,
2020-07-14,AK,0,40,2843,0,642.0,,,22.0,,
2020-07-15,AK,0,52,6568,0,669.0,,,27.0,,
2020-07-16,AK,0,401,6528,0,688.0,,,19.0,,
2020-07-17,AK,0,49,2343,0,697.0,,,9.0,,
2020-07-18,AK,1,78,2871,0,708.0,,,11.0,,
2020-07-19,AK,0,118,4529,0,712.0,,,4.0,,
2020-07-20,AK,0,137,2439,0,712.0,,,0.0,,
2020-07-21,AK,0,111,2929,0,737.0,,,25.0,,
2020-07-22,AK,1,94,6613,0,753.0,,,16.0,,
2020-07-23,AK,0,65,4111,0,787.0,,,34.0,,
2020-07-24,AK,0,64,10999,0,800.0,,,13.0,,
2020-07-25,AK,1,120,4374,0,815.0,,,15.0,,
2020-07-26,AK,0,234,1964,0,817.0,,,2.0,,
2020-07-27,AK,1,104,0,0,817.0,,,0.0,,
2020-07-28,AK,1,144,6363,0,836.0,,,19.0,,
2020-07-29,AK,0,92,9697,0,854.0,,,18.0,,
2020-07-30,AK,1,117,1276,0,885.0,,,31.0,,
2020-07-31,AK,0,118,7931,0,898.0,,,13.0,,
2020-08-01,AK,1,150,5377,0,930.0,,,32.0,,
2020-08-02,AK,0,157,4300,0,932.0,,,2.0,,
2020-08-03,AK,1,80,2637,0,946.0,,,14.0,,
2020-08-04,AK,0,61,6781,0,987.0,,,41.0,,
2020-08-05,AK,0,58,4572,0,1017.0,,,30.0,,
2020-08-06,AK,0,40,4253,0,1220.0,,,203.0,,
2020-08-07,AK,0,65,7214,0,1238.0,,,18.0,,
2020-08-08,AK,1,85,4657,0,1254.0,,,16.0,,
2020-08-09,AK,0,100,4226,0,1269.0,,,15.0,,
2020-08-10,AK,0,66,2358,0,1332.0,,,63.0,,
2020-08-11,AK,0,50,10351,0,1344.0,,,12.0,,
2020-08-12,AK,1,66,1772,0,1359.0,,,15.0,,
2020-08-13,AK,0,95,1376,0,1360.0,,,1.0,,
